,problem_id,problem_id.1,translated
74,75,"[""Bitches don't even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches""]",[“婊子们甚至不再出去找乐子了，他们只是出去在推特上谈论这个功能，并和其他婊子拍照”]
75,76,['Bitches dont wann fxck me no more bitches wanna fxck all my bitches'],[“婊子们不想杀了我，再也没有婊子想杀了我所有的婊子了”]
76,77,['Bitches get on twitter an turn to saints like they not hoes that shit kill a nigga'],[“婊子们在推特上转向圣徒们，好像他们不是杀黑人的锄头”]
77,78,"['Bitches know they bitches, bitch.']",
78,79,"[""Bitches love beefing over a nigga that's always in other bitches faces.""]",
79,80,['Bitches make me happy.  Material objects make bitches happy #iPhone6 ,[婊子让我开心。实物让婊子开心iPhone6
80,81,['Bitches on me bout da lil flexin shit on snapchat  bitch please'],
81,82,['Bitches rather be petty with his hoes instead of posting bail now that ah really fck em up.....psa'],
82,83,"[""Bitches so stupid!!! Yal can't know how I'm bouta start popping bitches""]",[“婊子太蠢了！！！雅尔不知道我是怎么做的博塔开始爆婊子“]
83,84,"[""Bitches swear up and down they pussy the best, but ain't.""]",
84,85,['Bitches talmbout they limber got these bitches In limbo'],[“婊子们，但他们把这些婊子弄糊涂了”]
85,86,"[""Bitches think they're slick but no matter how hard they try and hide it we can still tell if they're hoes or not""]",[“婊子们认为他们很狡猾，但不管他们怎么努力隐藏它，我们仍然能分辨出他们是不是锄头”]
86,87,['Bitches will be bitches'],[“婊子就是婊子”]
87,88,['Bitches will be bitches.'],[“婊子就是婊子。”]
88,89,['Bitches with kids are retarded'],[“有孩子的婊子是弱智的”]
89,90,['Bitches with trash pussy always want unprotected sex'],[“有垃圾女人的婊子总是想要无保护的性行为”]
90,91,"['Bitches, bitches, bitches.']",[‘婊子，婊子，婊子’]
91,92,"['Bite me bitch , chew on a 19 footer']",[“咬我，婊子，咬19英尺”]
92,93,"[""Bitzy probably popped a Percocet before she had these drinks with Mellie. She seems like that kind of of trill ol' bitch. #ScandalABC""]",[“比茨可能在和梅莉喝这些饮料之前喝了一杯百事可乐。她看起来像个三言两语的婊子。#斯堪的纳维亚“]
93,94,"[""Bjergsen just made a full AS rune page. I don't just me full AS reds and Quints I mean AS reds, blues, yellows, and Quints. 47% AS""]",[“比尔格森刚刚做了一个完整的如符文页。我不只是说我是红的，蓝的，黄的，五分之一。47%为“]
94,95,"[""Blac Chyna's ass should've threw him off first of all. It's wop sided and those cheek piercing trashy as hell.""]",[“Blac Chyna的屁股应该先把他扔了。它是双面的，那些刺破脸颊的东西简直是垃圾
95,96,"['Black Dynamite!  ""All the hoes gone?! My dick harder than slavery!"" *wall-slides*']",
96,97,['Black bitches be boisterous belligerent buffaloes! \n\n#AlliterationTuesday\n#Damnismartallofasudden'],[黑婊子是好战的野牛！\n\n#头韵星期二\n#Damnismartalofasudden']
97,98,"[""Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.""]",[“黑人婊子在我们学校可不受欢迎。婊子们还带着杜拉斯来，他们头上还顶着屎
98,99,['Black cops want to kill white citizens. Spic cops want to kill Anglo citizens. Zigeuner cops are all rapists.'],['黑人警察想杀死白人公民。Spic警察想杀死英国公民。齐格纳的警察都是强奸犯
99,100,"['Black guy in class: *attempts to throw a paper ball into the trash*\n*misses* \nMrs. Mundy: ""You\'re a disgrace to your race, Marcus""\n']",
100,101,['Black people like disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity'],[“像你这样的黑人讨厌我嘲笑一个死了笨猴子屁股的黑鬼，你需要被关起来只是因为愚蠢”]
101,102,['Black twitter needs to get off Paul George dick about him impregnating a stripper. Wiz did. Tyga did. Kanye turned a hoe into a housewife'],['黑色推特需要摆脱保罗乔治迪克关于他怀孕脱衣舞女。是的。泰加做到了。坎耶把锄头变成了家庭主妇
102,103,['Blah blah Idgaf bout you crazy ass bitch'],
103,104,['Blah blah blah blah.. How it sound when these bitches talk '],
104,105,"[""Blah. In all honesty.... I just need some pussy. That's it""]",
105,106,['Blatt trash too ... but twitter said he was good'],
106,107,"['Blocked his fuzzy butt .Ignore this low life creature....""']",
107,108,"['Blonde bitch wit her blue eyes, like butter when she spread']",[“金发碧眼的婊子，就像涂黄油一样”
108,109,['Blood this nigga Dion retarded'],[“这黑鬼迪翁迟钝了”]
109,110,"[""Blow up the pussy like Hussein. Bitch look at me crazy like who's sane? @RavenxMiyagi""]",
110,111,['Blows my mind how some guys have these model type girls then cheat on them with some ghetto hoe.'],
111,112,"['Blunt to the head, fuck Feds, I eat pussy till my tongue red']",
112,113,['Boats n hoes boats n hoes gotta have me my boats n hoes!!!!!!!'],[‘船啊锄啊船啊锄啊锄啊船啊锄啊锄啊我的船啊锄啊！！！！！！！']
113,114,['Bobby bitch'],[“鲍比婊子”]
114,115,['Bobby bitch dropping in five minutes though .... Let that sink in '],[鲍比婊子五分钟后就来了。。。。让它沉下去
115,116,['Bobby bitch&gt;Hot nigga'],['Bobby bitch&gt；辣妹]
116,117,['Bobby bitch? Dickhead TOP 3 BOBBY SHMURDA SONGS:\n1. HOT NIGGA\n2.\n3.'],[鲍比婊子？白痴鲍比·什穆尔达前三首歌：\n1。热黑鬼\n2.\n3.']
117,118,['Bobby stole the black from Gabby. Pedro: But she kept all the ghetto. #LifeMade'],博比从加比那里偷了黑色的。佩德罗：但她保留了所有的犹太人区。#生命线']
118,119,"['Bomb your house,\nThen fuck your bitch.\nAll hail Al Qaeda']",['炸毁你的房子，\n操你的婊子。\n向基地组织致敬']
119,120,['Bond had the hoes and the money Bourne kicked ass no gadgets hawk always let a bitch die'],
120,121,['Boney ass bitch farting out mini basketballs '],[“骨瘦如柴的婊子放屁迷你篮球”]
121,122,['Boosie ran this hoe'],
122,123,['Boozer so trash'],
123,124,['Bored then a hoe in the auditorium  hmu! ,['无聊，然后在礼堂锄头hmu！
124,125,['Bored then a hoe! Listening to these fuck ass adults lecturing us with ,
125,126,['Boss ass bitch remix  ,
126,127,['Bossd up on my old hoes'],[“对我的旧锄头发号施令”]
127,128,"[""Boston's Jihadi Nest and Student Arm of the Muslim Brotherhood  Joe For America ",[“波士顿的圣战巢穴和美国穆斯林兄弟会乔的学生分支
128,129,"[""Both but that was the old me lol  U be havin bitches on deck for the sex or it's a new joint every time?""]",
129,130,['Both of my bitches drive range rovers'],[“我的两个婊子都开越野车”]
130,131,['Both of them hoes losers and need to hit the gym'],[“他们都是失败者，需要去健身房”]
131,132,['Both trash but I guess they got tired of Chalmers trash starting  How chalmers lose his job to Norris Cole? Lmfaoooo'],两个都是垃圾，但我猜他们厌倦了查默斯的垃圾，开始查默斯是怎么被诺里斯·科尔丢了工作的？lmfaooo']
132,133,"[""Both y'all pussy son beat it ",[“你们两个娘娘腔的儿子都赢了
133,134,['Bought that bitch mozzarella sticks. Bitches love mozzarella sticks'],
134,135,['Bought these bitches breakfast and now getting kissed on my cheeks non stop...lol. Check out is literally in 5 mins tho'],[‘给这些婊子买了早餐，现在不停地亲吻我的脸颊……哈哈。5分钟后就可以退房了’]
135,136,"['Bought this Lp in Manchester the other week, had no idea it was coloured vinyl. Man what a steal!!!!! #VinylGasm #Re-Machined']",
136,137,['Bout tht time where the hoes are gettin dicked down'],
137,138,['Bout to bust this bitch wide open. Such a waste of money!'],就要把这婊子炸开了。真是浪费钱]
138,139,['Bout to dub dis bitch'],[“即将配音dis bitch”]
139,140,['Bout to get a breasts reduction these bitches be in the way'],[“要做乳房缩小手术了，这些婊子碍事了”]
140,141,['Bout to make some brownies in a few.'],[“一会儿就要做些布朗尼了。”]
141,142,['Bout to put me some hoes on backpage .. Try my pimp hand out! '],[“我要把锄头放在后面。。试试我的皮条客]
142,143,['Bout to smoke a 3.5 n dis bitch .. #Pollution'],[“要抽3.5 n的大麻。。#污染']
143,144,"[""Bout to unfollow all the bitches I follow currently and follow all new bitches. I need change in my life and I feel like that's a good start""]",[“我现在要跟不上所有的婊子，跟不上所有的新婊子。我需要改变我的生活，我觉得这是一个好的开始“]
144,145,['Bouta Rasengan all these stupid bitches'],['Bouta Rasengan所有这些愚蠢的婊子']
145,146,"['Bow down bitches, bow down bitchess']",[“低头婊子，低头婊子”]
146,147,"[""Bowling Green's campus looks old as fuck. Like state penitentiary old. But they do have a lot of bitches so I guess that counts for a lot""]",[“保龄球格林的校园看起来很老。就像州立监狱一样。但他们确实有很多婊子，所以我想这很重要“]
147,148,"['Boy Yo bitch a lame , Dont Nobody Know Her but you']",
148,149,['Boy Yung thug is a fag'],
149,150,"[""Boy a bitch STILL ain't got the proper amount of sleep ""]",[“狗娘养的还没睡好”]
150,151,['Boy damn jitt got his ass bitch slapped in da court yard comin to 6th period  i was yelln n shit'],
151,152,['Boy these downlow niccas should be ashamed'],[“孩子，这些下流的尼卡应该感到羞耻”]
152,153,"[""Boy you gotta turn that Nikki song all the way down on the volume kuz it's trash ... But that the ass fat lawd""]",
153,154,"[""Boy!   Some hoes be setting themselves up for failure shit be so funny!! I'm sleep tho  ",[“孩子！有些锄头会让自己失败，真有趣！！我在睡觉
154,155,['Boyfriends and brothers will drop off and pick up bitches from their fast food job as long as their promised a free meal.'],[“只要他们答应免费用餐，男朋友和兄弟们就会顺路去接快餐店的婊子们。”]
155,156,['Boys dont wanna seem like bitch thats why they dont express feelings like us females do'],[“男孩不想看起来像婊子这就是为什么他们不像我们女性那样表达感情”]
156,157,"['Boys want bad bitches , and dummies. Men want strong women who respect themselves and support his grind while handling hers.']",男孩想要坏婊子和傻瓜。男人需要坚强的女人，她们尊重自己，在处理她的事情时支持他
157,158,"[""Boyyyyy if I had a bitch who pussy taste lil mama's spaghetti.... THAT WOULD B 1 HAPPY BITCH!!! ",
158,159,['Brackin in da bity boolin wit sum bitches straight bleedin'],
159,160,['Brad Pitt is older than Charlie Sheen. What the fuckkkkkkkkkkkkk.'],布拉德·皮特比查理·辛大。这他妈的是什么
160,161,"['Brady heard yall say he was washed, now he washing the league on you hoe ass niggas.']",
161,162,"['Brag bout your hoes, you prolly get 0 to no pussy.']",
162,163,['Brag to you about the hoes he hittin and when you ask for a pic he show you some sorry ass female.. Then all you can do is laugh..'],
163,164,['Brandon Jennings trash'],['Brandon Jennings垃圾箱]
164,165,['Break shit fuck the law....grrrr...fuck that shit...punch that bitch!'],
165,166,['Breakfast fried chicken jerk chicken Tater tots white rice nd press yellow rice nd beans Mac nd cheese ,早餐炸鸡干鸡土豆托特白米饭黄米饭豆子奶酪
166,167,['Breakfast of champions shrimp lobster balls (no sandusky) French fries nd a nice big Quahog (clam for ,
167,168,['Breaking News: ur a little bitch'],
168,169,['Breaking yo bitch like a KitKat nigga'],[“像个小黑鬼一样打碎你的婊子”]
169,170,"['Breakup Anthem ""We threw shidd lemme just fall back pick up my side hoes cuz i stayed in contact""  ",[‘分手颂歌’我们扔了屎，让我退后，捡起我的锄头，因为我保持联系”
170,171,['Breezy gotta sleep this hoe'],[“微风要睡这个锄头”]
171,172,"['Briahna told me the best advice I ever gave her was that it ""aint nothing to cut dat bitch off"" lmao.']",['Briahna告诉我，我给过她最好的建议是“没有什么可以砍掉那个婊子的‘lmao’。”
172,173,"['Brie said ""We were together since before we were born."" You guys are twins.. duh bitch. Omg who wrote the script?! #BellaTwins']",['布里说，“我们从出生前就在一起了。”你们是双胞胎。。该死的婊子。天哪，剧本是谁写的？！#[双胞胎]
173,174,"[""Brilliant job by to limp it back to the pits without causing a yellow. Wish he didn't need to though. #PLM""]",[“出色的工作是在不引起黄色的情况下把它跛回到坑里。希望他不需要这么做。#PLM“]
174,175,['Bring a niggah some icecream'],[‘给黑人带点冰淇淋来’]
175,176,['Bring another bitch for a real nigga.'],
176,177,"['Britt attitude be for no reason , bitch mad at breakfast ']",[“布里特的态度是没有理由的，婊子对早餐很生气”]
177,178,"[""Bro I'm bored then a hoe rt""]",
178,179,"['Bro everybody is a ho then, fuck it, your favorite Color is mango red you are a ho, you charge your phone all the way to 100% = Ho, smh']",
179,180,"[""Bro what in the fuck y'all bitches thinking ... That is not ok""]",
180,181,"[""Bro's before hoes, not bro's over your girlfriend""]",
181,182,"[""Bro's before hoes, not bro's over your girlfriend...""]",
182,183,['Broke bitches be like oh he Got MONN-NEYYY'],[‘破产的婊子们就像他得到了一个星期一’
183,184,['Broke bitches make me sick'],
184,185,['Broke bitches on my tl...'],[“我的tl上坏掉的婊子…”
185,186,['Broke bitches that talk shit those the ones that I stunt for '],[“说废话的坏婊子，那些我特技表演的婊子”]
186,187,"['Broke bitches that talk shit, now them the bitches I stunt for ']",[‘说废话的坏婊子，现在是我特技表演的婊子’]
187,188,"[""Broke hoes always wanna argue u ain't ate all day were u get that energy from ""]",[“破产的锄头总想说你一整天都没吃东西是因为你从中得到了能量”]
188,189,"[""Broke pussy boy Deion's record.""]",
189,190,['Broner would still knock half u niccas out'],[‘布朗纳还是会把你的一半尼卡打倒’]
190,191,"[""Brooo Chinese sounds goooood then a hoe rn but my momma making carne con chile so I guess I'm gucci with that ""]",
191,192,"['Brooooooo that wingstop went sooooo clutch, I straight ran through that hoe!!']",['Brooooooo那个翼挡被抓了，我直接穿过了那个锄头！！']
192,193,['Brown is a color so my eyes are colored'],
193,194,['Brownies brownies brownies'],
194,195,"[""Browns and redskins shouldn't be considered nfl teams""]",[“布朗和红人不应该被认为是nfl球队”]
195,196,['Brrr hoe dichter bij het Sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de proZwartePieten hoek. Engvolk'],
196,197,"[""Bruh I'm ready to get this four wheeler that bitch is fast asf""]",[“兄弟，我准备好买这辆四轮车了，那个婊子跑得很快”]
197,198,['Bruh  He def wanted to call L Rock a nigger in that last  LMAOOOOOOOOOOOOOOOOOOOOOOOOOOOO'],[“他想叫我洛克在那最后一部电影里是个黑鬼”]
198,199,['Bruh bitches be wearing heels and club outfits to school and shit '],[“狗娘养的穿着高跟鞋和俱乐部的服装去上学和拉屎”]
199,200,['Bruh leave it to the coins coons'],['把它留给硬币库恩']
200,201,['Bruh this niggah always falls asleep ! '],[“这个黑鬼总是睡着！”]
201,202,['Bruh went so hard on that bitch he deserves pimp of the year'],[“布鲁赫对那个婊子太苛刻了，他值得当年度皮条客”]
202,203,['Bruh. Sasuke and Sakuras daughter gonna be a bad Uchiha bitch'],
203,204,['Bruh. pt. 2 jaxon1114 killed this hoe too last night while we was sleep. ,
204,205,['Bruh... soo trash....'],
205,206,['Bruhhhh hoes ass laws had to fuck up the fun '],
206,207,['Bruised ankle is a bitch'],[“受伤的脚踝是个婊子”]
207,208,"[""Brutus looking girl getting off the elevator as I'm walking into a different one... No bitch u can't come in, u can't u can't come in.""]",
208,209,"[""Bryant must think he's so cute going out w his stupid ass friends and leaving me here but watch when he gets back  lil bitch""]",
209,210,['Bsd bitch make it clap'],
210,211,['Bt bitches &amp;&amp; niggahs always had there hand out'],
211,212,"['Bt dubz, ur best pals bitch about u to me quite often... #stoplivingafuckinglie #hatredisincreasing']",
212,213,['Buddy a fruit Brandon said you a dirty ass coon'],“伙计，一个水果布兰登说你是个肮脏的蠢货”
213,214,['Buddy drug the whole train lmao good ... extra ass hoes'],
214,215,['Buddy slapped his rent stress out on that messy bitch. What I done told u hoes bout New York niggas &amp; they temper? #TrainVideo'],
215,216,['Build a bear &lt;&lt;&lt;&lt; build a bitch'],[“造一只熊&lt；&lt；&lt；造一个婊子”]
216,217,"['Bull color schemes?\n\nDULL, you stupid bitch. DUKE WEARS BOLD PASTEL COLORS.\n\nBull makes no sense.']",['牛颜色方案？\n\nDULL，你这个愚蠢的婊子。杜克穿的是大胆的粉彩。\n\n布尔毫无意义。']
217,218,['Bullets stick to a nigguh damn liver'],
218,219,['Bullets through a nigguh tru jeans'],[“子弹穿过一条黑色牛仔裤”]
219,220,['Bullying laws are for pussies.'],[“欺凌法是给娘娘腔的。”]
220,221,['Bum ass hoe'],[“蠢驴锄头”]
221,222,"[""Bum bitch won't even my type""]",[“贱人连我喜欢的类型都不会”]
222,223,['Bumoose ducking those insults like a scared white pussy'],['Bumoose躲开那些侮辱像一个害怕的白色猫咪']
223,224,['Bumped into a bitch that filed for sexual harassment at work against a co-worker...I aint been so shook in my life'],
224,225,['Bumpin that nigga nigga Rick Ross B.M.F this hoe going harrrrd highh outside enjoying this weather'],
225,226,['Bunch of hurt niggas &amp; bitches on my IG timeline tonight.. Muhfuckas lame as hell b'],['一群受伤的黑鬼和婊子在我今晚的搞笑时间表上。。Muhfuckas跛得像地狱b']
226,227,['Burn bitch ,[燃烧的婊子]
227,228,['Burnating all Yankees and their thatch roof cottages!!!!!! #Astros ,
228,229,['Burritos are trash'],
229,230,"[""Bussin bitches with my Gwale' Gwalas""]",[“巴辛婊子和我的格瓦拉”]
230,231,['Bussy  Is that avi pussy poppin on a handstand??'],[“巴斯西是那个阿维·普西在倒立吗？”]
231,232,"['Bust a nicca head,smack a ho,shoot the club up!  ']",
232,233,"['Bust a nicca head,smack a hoe and shoot the club up!  So what we doing??']",
233,234,"[""Bust in dat bitch face I don't want sons! -- @Icewear_Vezzo""]",
234,235,"[""Busted my lip playing ball so now I can't enjoy pussy and this delicious MANGO""]",[“打球时把嘴唇弄破了，所以现在我不能享受猫和这个美味的芒果”]
235,236,['But Carl is a bitch '],[“但是卡尔是个婊子”]
236,237,"[""But I callin out da race card. Ain't no colored podcasts out dare""]",[“但是我打了一张比赛卡。没有彩色播客“]
237,238,"[""But I can't buy tomorrow. That's why I go hard hoe.""]",
238,239,"[""But I can't get her to smoke unless I bitch about it. The struggles of having a girl who doesn't... In actuality it's a great thing.""]",[“但我不能让她抽烟，除非我发牢骚。有一个女孩不。。。实际上，这是一件伟大的事情
239,240,['But I have the hoes  ,
240,241,"[""But I'm calling this bitch yeah ok after you called me I return calls especially if it ain't my girl ",
241,242,['But atleast they let me know...ur a faggot if u keep those type of twitter secrets'],[“但至少他们会让我知道…如果你对twitter保密的话，你就是同性恋”]
242,243,"['But bitch you gon shave or wax that pussy before I bless it, Foh.']",[“但是婊子，在我祝福它之前，你可以给它刮胡子或上蜡，福。”]
243,244,"[""But bitches are crazy, I'd be in jail for sure""]",
