Column1,ï»¿problem_id,problem_id,translated,_1
72,73,"['""#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""'",老鹰国家和每只老鹰都需要看到我刚刚发布的那张照片，因为那婊子刚刚说了最种族主义的废话”,
73,74,"['""Yo fuck skateboarding, all y\'all some wood pushing faggots man, ball is life ",你他妈的滑板，你们这些推木头的同性恋，球就是生命,
74,75,"['""baby monkey bathtime ",猴子宝宝洗澡时间,
75,76,"['"" I ain\'t shit ."" Damn Skippy lol'",我不是狗屎。”该死的跳蚤lol',
76,77,"['""u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance'",你有没有在人行道上杀了一只蚂蚁，然后想，如果那黑鬼在去抓女人的路上会怎么样呢？”没有b&gt＿0%的可能性”,
77,78,"['""ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""'",ppl说贫民区/胡德的坏话。。。但小时候，一个黑鬼有点疯了,
78,79,"['""The facts on tattoos...tattoo ",关于纹身的事实…纹躿,
79,80,"['""  Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches..'",婊子们想表现得像黑鬼一样坏到狗屎不可爱”但是黑鬼表现得像婊子一样,
80,81,"['""Get worshiping bitch! ",得到崇拜的婊子＿,
81,82,"['""Wow.  I\'m lost. Are those buttcheek piercings? ",哇。我迷路了。那些是脸颊上的洞吗＿,
82,83,"['""Ok, sis."" She\'d rather be a broke bitch? *shrugs* she\'ll have to tell me how it works for her'",好吧，姐姐。”她宁愿做个破产的婊子？*耸耸肩*她得告诉我这对她有什么好夿,
83,84,"['""queer"" gaywad'",同性恋”,
84,85,"['""faggot read my tweets after dat k"" it wasn\'t even funny lol'",faggot在dat k之后读了我的推特”这一点都不好笑lol',
85,86,"['""This bitch was so ungrateful ",这个婊子太忘恩负义亿,
86,87,"['""I been kidnapped yo bitch""'",我被绑架了，婊子,
87,88,"['""alsarabsss"" hes a beaner smh you can tell hes a mexican'",alsarabsss”他是个酒鬼，你可以告诉他是个墨西哥亿,
88,89,"['""happy birthday nigs"" Thanks yo'",生日快乐”谢谢你',
89,90,"['""when ur teacher tells u that u have homework ",当你的老师告诉你你有作业的时倿,
90,91,"['""""that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. ",”那个黑鬼在吃妓女哈哈哈哈哈哈哈哈哈哈约翰保罗”黑鬼说约翰保罗。,
91,92,"['""What would y\'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""'",如果你们这些丑陋的秃头婊子停止化妆和编织，他们会怎么做？”,
92,93,"['""Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig'",叶子最好赢了这该死的游戏，这样我就可以去暴乱和拉屎#早圣诞节你最好开始抢劫我的黑人”,
93,94,"['""Going back to school sucks more dick than the hoes who attend it.""'",回到学校比上学的人更讨厌,
94,95,"['""On my way to fuck yo bitch ",在我去操你婊子的路丿,
95,96,"['""how come you never bring me food"" i dont have a car retard'",你怎么从来不给我带食物”我没有一个汽车智障,
96,97,"['""If Richnow doesn\'t show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople'",如果Richnow不带着hella tinder hoes出现，我就不再是他的朋友了”我带来亿个道具一样的寒冷',
97,98,"['""How bout them Cowboys!!!!"" Shutup pussy'",那些牛仔怎么样！！！！”闭嘴，娘娘腔,
98,99,"['""LMAOOOOOOOOOOO this nigga ",这个黑鬼,
99,100,"['""girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz'",女孩，你知道我在向你吐痰吗&amp；你在玩lbvs婊子plz”,
100,101,"['""Let me make a couple tweets off cuzzo page, so I won\'t get in twitter jail.""lmao bitch don\'t trick me again'",让我在cuzzo网页上发几条推特，这样我就不会进twitter的监狱了。,
101,102,"['""Harlem shake is just an excuse to go full retard for 30 seconds.""'",哈林区的摇号只是一个借口，可以完全减逿0秒。,
102,103,"['""amen miley  ",阿门，麦莉,
103,104,"['""having one loyal female is wayyyyy better than having hoes , idc ""'",有一个忠诚的女性比有妓女要好，idc,
104,105,"['""Pussy licking pussy.... meow meow #StopWhitePeople2014  ",猫咪舔猫咪…”。。。。喵喿停止白人2014,
105,106,"['""Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands'",看看我们的笿2个人即使看台上有那么多同性恋粉丝”,
106,107,"['""What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch'",那些恶毒的婊子们发生了什么事”他们像个山脚下的婊子一样被跑了，扔到了一边,
107,108,"['""im the bitch okay nudes pat "" wow'",我就是那个婊子好的裸体拍”哇,
108,109,"['""you\'re fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway ",你他妈的是同性恋，被列入黑名单的妓女”不管怎么说，都是为了泰戈德家族,
109,110,"['""The fuck be wrong with these bitches?"" Nobody knows'",这些婊子他妈的怎么了？”没人知避,
110,111,"['""Yall shut up:p"" make me bitch'",Yall闭嘴：p”让我变成婊子,
111,112,"['""I hate a ""I\'m pregnant"" type of bitch.""'",我讨厌那种我怀孕了”的婊子,
112,113,"['""Got bitches in the DM but I don\'t ever read\'em"" which is y your top 3'",在DM中有婊子，但我从来没有读迿他们'哪个是你的前三名',
113,114,"['""Baseball season for the win. #Yankees"" This is where the love started'",'棒球赛季的胜利扬基队这是爱的开始”,
114,115,"['""Little stupid as bitch I don\'t fuck with yoooooouuuu..""'",像婊子一样的小傻瓜，我不跟你擿.”,
115,116,"['""she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL'",她真的很严肃地问我，我只能说”婊子吼哈哈”,
116,117,"['""I\'m an early bird and I\'m a night owl, so I\'m wise and have worms.""'",我是一只早起的鸟，我是一只夜猫子，所以我聪明而且有虫,
117,118,"['""Overdosing on heavy drugs doesn\'t sound bad tonight."" I do that pussy shit every day.'",今晚过量服用重毒品听起来并不坏。”我每天都做这种亿,
118,119,"['""Pit Bulls Photographed As Lovely Fairy Tale Creatures ",”斗牛被拍成可爱的童话动牿,
119,120,"['""Aw."" ...fag, don\'t tweet ""aw"" to me lol'",啊”…基佬，别在推特上对我说啊”,
120,121,"['""As long as the Lakers trash from now on, I could careless. And that\'s real."". CC: hahaha'",只要湖人队从现在开始垃圾，我可以粗心。这是真的。抄送：哈哈哿,
121,122,"['""I didn\'t say anything tho"" kiss me then faggot'",我什么也没说”亲我然后同性恋',
122,123,"['""this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut ",这就是我踢足球，欺骗女孩，穿着卡其色的衣服”的发型,
123,124,"['""I could go for a fat ass bitch on my lap"" same'",我可以在我腿上找一个肥屁股婊子”一样,
124,125,"['""17 missed calls!!!! ""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle'",7个未接来电！！！！”Das yo P.O bitch twitter finna be screamn#FreeMoneyMelle',
125,126,"['""Ya side bitch gotta know it\'s rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao '",你这帮婊子要知道这是规矿.有人问你我新泽西的表妹想搬家吗”lmmfao,
126,127,"['""3 | Amo los pies ", |爱你的脚,
127,128,"['""These hoes be thinking Meat won\'t slap they ass "" ainna bruh'",这些妓女认为肉不会打他们的屁肿,
128,129,"['""Yall bitches wit no edges be doing the most talking ""'",没有棱角的婊子会说得最多,
129,130,"['""Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit'",你今年还是不给糖就捣蛋吗？”是啊，我是个喜欢吃甜食的强盗，偷婊子的包和狗屎,
130,131,"['""I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck'",我想和我妈妈做爱，在我出生的那个女人那里操她，”该死的，你像操一样被砍死了,
131,132,"['""If she kiss u with her eyes open watch that bitch!""lmfao'",如果她睁着眼睛吻你，小心那个婊子！”lmfao',
132,133,"['""You a woulda coulda shoulda ass hoe ""'",你会的，应该是个妓女,
133,134,"['""Happy Bday Bitch Ass Nigga that bitch roll up!'",祝你生日快乐婊子屁股，那个婊子滚蛋！”,
134,135,"['""used to send that bitch up""'",用来把那个婊子送上去,
135,136,"['""Ugly bitches be like I\'m my own WCW duh bitch you ain\'t nobody elses""'",丑婊子就像我是我自己的婊子你不是别人,
136,137,"['""nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao'",黑鬼，你知道我们是麻袋锄。”…不，我不看你的脿,
137,138,"['""Glad I\'m getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""'",很高兴我要离开亚特兰大。只不过是一帮黑鬼进了监狱，出了监狱，带着疯孩子的傻婊子干了他仿,
138,139,"['""This isn\'t ghetto.....it\'s smart ",这不是犹太人区……这很聪昿,
139,140,"['""I would wife a hoe only cuz we wouldn\'t care that we cheating in each other."" ...why force the relationship in the first place?'",我愿意娶一个妓女为妻，因为我们不在乎彼此欺骗。”…为什么一开始就强迫这段关系,
140,141,"['""Being single isn\'t an excuse to be a hoe."" @TheOneMiss_Luu'",单身不是当妓女的借口。”@TheOneMiss\u Luu',
141,142,"['""White boy power bitch"" black power bitch'",白人男孩权力婊子”黑人权力婊孿,
142,143,"['""Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.'",让我们喝得烂醉，被吹得喘不过气来，吐点屎火花，去他妈的妓女！”白人兄弟不冿,
143,144,"['""bitch where u been"" Around the world and back. Where you been?'",婊子你去哪儿了”环游世界又回来了。你去哪儿了？”,
144,145,"['""if I don\'t get my dick sucked at yo party by a bad bitch I\'m fr gone set it off "" *by *'",如果我在派对上不被一个坏婊子舔我的老二，我就要去引爆它by*',
145,146,"['""#oomf is soooo cute. But he probably has hoes on him a lot.""'",oomf太可爱了。但他身上可能有很多妓女,
146,147,"['""In every cartoon theirs alway a saving these hoes lmao. ",在每一幅漫画中，他们总是在拯救这些妓女,
147,148,"['""Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking ",谁想在这些糟糕的地方得到鼻子那么ţ鳞片ţchavţ袜子癖ţ臭呿,
148,149,"['""I wish I was a bitch like my brother keezy "" ooooow I bet you do'",我希望我是一个婊子像我的哥哥基兹”哦，我打赌你是这样皿,
149,150,"['""If you dressed up as a cat for Halloween you are basic."" ...or a pussy'",如果你在万圣节打扮成一只猫，你就是一个普通人。”…或者一个娘娘腔',
150,151,"['""Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it Katie&lt;3'",pornhub能不能只提供一个游戏流功能，这样这些蠢货就可以上手”Katie&lt＿',
151,152,"['""stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH'",别害怕在做爱的时候掐死她。我喜欢。”。从床上打女人的人说。FOH',
152,153,"['""ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig'",哈，我希望我能让他们对我忠心耿耿，兄弟”他们永远不会对我忠心耿耿,
153,154,"['""Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed'",哦，天哪…”凌晿点，你离开了莫莉，你他妈的在哪#固定',
154,155,"['""You\'re not a man if you refer to every girl as a bitch""'",如果你把每个女孩都称为婊子，你就不是男人”,
155,156,"['""Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!'",这只猫开始把我揍得屁滚尿流”我的黑鬼终于有了女人？！？我的黑鬼！！＿,
156,157,"['""Peel up peel up bring it back up rewind back where I\'m from they move Shaq from the line"" ooooow who tf said that trash!!?'",剥皮剥皮，把它拿回来，倒带回到我来的地方，他们把沙克从队伍里移走了”噢，谁说的那个垃圾！！＿,
157,158,"['""io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha'",我有我出来的记录哈哈哈”哈哈哈。。。哈哿,
158,159,"['""naw it\'s my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I\'m waiting on that hoe Mayne!'",不，这是我的旧磁带。新封面。我即将推出的混音磁带是国王山”是的，我在等那个妓女梅恩,
159,160,"['""Ol dirty foot ass bitches.."" this was too funny to me.'",肮脏的臭婊子…”这对我来说太有趣了,
160,161,"['""that\'s where I get my yellow flags for being amazing "" HELL YEAH NIGGY'",那是我得到我的黄旗，因为我是惊人的”地狱耶，尼基',
161,162,"['""Don\'t got time for bitches to be actin iffy.""'",没时间让婊子们动起来。,
162,163,"['""#UCFPINKPAY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT'",UCFPINKPAY加油，活下去骑士国家！！！！”这仍然是早起的特别节目ComeAtMeUT',
163,164,"['""These hoes ain\'t loyal ; no they ain\'t ",这些妓女不忠诚；不，他们不忠诿,
164,165,"['""Bruh, you studs keep thinking I\'m soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!'",兄弟，你一直以为我软得要命。问你女孩她尖叫了多少次她是我的婊子。哦，好的。再见！”,
165,166,"['""dry pussy bitches always blame it on the condom""'",干娘娘腔婊子总是责怪避孕套,
166,167,"['""shut yo bitch ass up! ",闭嘴，婊子＿,
167,168,"['""Gucci Mane in jail and dropping mixtapes every month and you hoes can\'t even text back""'",古奇的鬃毛进了监狱，每个月都会掉混音带，你连短信都回不来,
168,169,"['""You love these hoes more then money wats wrong these niggas""'",你爱这些妓女胜过爱那些黑鬼,
169,170,"['""A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol'",一个没有爸爸问题的忠诚婊子就像找到一个全息猫咪。”…听起来像我在那边lol',
170,171,"['""Easy cum, easy hoe"" That\'s a fact !'",轻松，轻松”这是事实,
171,172,"['""Charlie Sheen is too real ",查理·辛太真实了,
172,173,"['""Wish I had a bae ""\n\nYou got all the hoes tho'",希望我有一个bae”\n\n你得到了所有的妓女,
173,174,"['""Fuck twerking bitch can you cook ?""'",该死的婊子你会做饭吗？,
174,175,"['""bitch wtf"" ",婊子wtf,
175,176,"['""""Shut up zoe"" fight me pussy for zoe? I\'m good, man."" You are good ma\'am. Move along now'",闭嘴佐伊”为了佐伊和我打架？我很好，伙计。你很好，夫人。快赿,
176,177,"['""Lmao fucking snake bitches"" em'",他妈的蛇婊子仿,
177,178,"['""Big booty hoes everywhere sheesh "" damn '",到处都是大战利品妓女”该死的',
178,179,"['""Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum'",请继续关注1B将在8-10周内发布的最新报告bum',
179,180,"['""""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut ",我踢足球，欺骗女孩，穿卡其色的衣服”的发型,
180,181,"['""Oregon chokes every year get off the field trash ass program"" RFT'",俄勒冈州每年都会被呛得喘不过气来垃圾屁股计划”RFT',
181,182,"['""Def not cowboy lol  Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo'",Def not cowboy lol Terrell Owens是最好的鹿amp；牛仔”…老兄在电视上哭得像个婊子，在罗摩的头上,
182,183,"['""LMFAOOOO I HATE BLACK PEOPLE ",我讨厌黑亿,
183,184,"['""How could u do this to me bitch"" potent'",你怎么能这样对我婊子”强悿,
184,185,"['""nah fam I gotta cheat with the hoes"" depends on the female i feel'",不，我要用妓女作弊”取决于我感觉到的女性,
185,186,"['"""" I got hicks lol'",''我有希克斯哈哈,
186,187,"['""This new twitter is confusing the shit out of me."" Go back to south america bitch'",这个新的推特把我搞糊涂了。”回到南美洲婊子,
187,188,"['""Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy'",Toto是指屁股还是阴道？”我认为猫咪是因为托托·桑蒂就像个讨厌的猫咿,
188,189,"['""but what if he actually does choose the ugly bitch over you? ""Her ass must be fat!'",但是如果他真的选择了丑婊子而不是你呢？”她的屁股一定很胖,
189,190,"['""bitch couldn\'t kill my vibe if ya tried. "" dis why i love miley :*'",如果你试过，婊子就杀不了我。”我为什么爱麦莉：,
190,191,"['""I\'m tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody.'",我厌倦了婊子们说我看起来很刻薄……”黑鬼，你这个大个子，穿紧身衬衫，每个人都很冷酷,
191,192,"['""10 birds your grandkids may never see, thanks to climate change ",由于气候变化，你的孙辈可能永远看不刿0只鸟,
192,193,"['""""Stay beautiful you bitch""""'",保持美丽，你这个婊子,
193,194,"['""#WutKinda\n\nr purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls'",WutKinda\n\nr紫色。这家伙在愚蠢的妓女”轨道上玩。但在我的脑海里，我仍然在想,
194,195,"['""Money getting taller and bitches getting blurry""'",钱越来越高，婊子越来越模糊,
195,196,"['""I ain\'t never seen a bitch so obsessed with they nigga"" I\'m obsessed with mine '",我从没见过一个婊子如此迷恋他们黑鬼”我迷恋我的',
196,197,"['""Kobe stay talking trash. But let\'s not forget ",科比继续说垃圾话。但我们不要忘记,
197,198,"['""""At least I\'m not a nigger"" ",至少我不是黑鬼,
198,199,"['""People always asking me what I\'m mixed with."" She a bad asian bitch lol'",人们总是问我和什么混在一起。”她是个坏的亚洲婊子,
199,200,"['""Ariza is a snake and a coward"" but at least he isn\'t a cripple like your hero Roach lmaoo'",阿里扎是一条蛇和一个懦夫”，但至少他不像你心目中的英雄罗奇·拉马奥那样是个瘸子',
200,201,"['""Fosters home for imaginary trash WHOA CHILL""\n\nthat show was everything tf'",福斯特之家，为想象中的垃圾，哇，冷”\n\n那场表演是一切tf',
201,202,"['""I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!'",我很低调地累了。”…如果你累了，就安静下来睡觉吧，妓女！”,
202,203,"['""Stop bringing weird niggers into my mentions! ",别再把奇怪的黑鬼带到我的名字里去了！,
203,204,"['""We don\'t love these hoes ""'",我们不喜欢这些妓女,
204,205,"['""If yo girl cant have homeboys you a ol weak bitch ass nigga!""'",如果你的女孩不能有家庭男孩，你是一个软弱的婊子屁股黑鬼！,
205,206,"['""I think worst advice I gave you was "" don\'t be a pussy and speed up"" lol""'",我想我给你的最糟糕的建议是”别做个娘娘腔，快点哈哈,
206,207,"['""Quote this tweet with your favorite animal.""pussy'",引用你最喜欢的动物的这条微博。”pussy',
207,208,"['""I hate when strippers tell you they\'re ""dancers"". Hoe, ballet dancers don\'t pop their pussy to Beethoven. You a STRIPPER!""'",我讨厌脱衣舞女告诉你他们是舞者”。哎呀，芭蕾舞演员可不喜欢贝多芬。你是个脱衣舞娘,
208,209,"['""Andrewbryant: Poff has double vision after 2 beers\nPoff: ... Double pussy "" smh'",”Andrewbryant:Poff喝了两杯啤酒后有双重视力\nPoff:。。。双猫smh',
209,210,"['""When bitches TWERK on the computer....\n\nME: ""In ya , in ya damn """"'",当婊子们在电脑上叽叽喳喳的时候\n\nME:”In ya，In ya damn,
210,211,"['""Prince, THIS is art. ",王子，这是艺术,
211,212,"['""61% of welfare/government aid is claimed by white people. So y\'all black slander is trash now.""'",1%的福刿政府援助是由白人申请的。所以你们现在的黑人诽谤都是垃圾,
212,213,"['""These bitches don\'t care they just play that role.""'",这些婊子不在乎他们只是扮演那个角色。,
213,214,"['""It took a while for you to find me, but I was hiding In the lime tree.""\ndis bitch in da wrong tree bro.'",你花了一段时间才找到我，但我躲在了酸橙树里。”\n这是一个在错误的树上的婊子兄弟,
214,215,"['""Drakes new shoes that will be released by Nike/Jordan.... Yes, there\'s glitter on the shoes ",Drakes新款鞋将由Nike/Jordan发布。。。。是的，鞋子上有闪光,
215,216,"['""inna di ghetto!!!"" You alone lmaoo'",伊纳迪贫民区！！！”只有你一个人吿,
216,217,"['""hoes Austin teach us Austin.""I teach u how to get curved? That\'s all I know'",奥斯汀教我们奥斯汀”我教你如何弯曲？我只知道这亿,
217,218,"['""bitches can\'t cook but know how to suck dick .."" s/o to the ones that can do both!'",婊子不会做饭，但知道如何吸鸡巴..”s/o的人都能做到,
218,219,"['""Fat hoes get chose"" lol'",肥锄”被选中哈哈”,
